Character Number	SimJ Score MACHINE	NIC Score MACHINE	SimJ Score HUMAN	NIC Score HUMAN
87	0.255813953	0.724925911	0.255813953	0.724925911
88	1	0.855877879	1	0.855877879
88	1	0.855877879	1	0.855877879
89	1	0.902149843	1	0.902149843
89	1	0.902149843	1	0.902149843
90	0.000930341	0.438865118	1	0.940003451
90	0.000930341	0.438865118	1	0.940003451
91	3.65E-05	0.414938228	0.666666667	0.880006902
91	0.217687075	0.855877879	1	0.893731487
92	1	0.859925006	1	0.940003451
92	0.893617021	0.874253036	1	0.962146392
93	0.476923077	0.864296235	0.476923077	0.864296235
93	0.476923077	0.864296235	0.476923077	0.864296235
94	0	0	1	0.924292784
94	0	0	1	0.924292784
94	0	0	1	0.893731487
95	0	0	1	0.912106644
95	0.262987013	0.848585568	1	0.912106644
96	1	0.855877879	1	0.855877879
96	1	0.855877879	1	0.855877879
97	0	0	0.65625	0.940003451
97	0.002605524	0.38312124	0.65625	0.940003451
98	0	0	0.766666667	0.859925006
98	0	0	0.189300412	0.814256487
98	0.097046414	0.634537193	0	0
99	1	0.839200617	1	0.839200617
99	1	0.839200617	1	0.839200617
100	0.971428571	0.78421779	0.306306306	0.78421779
100	0	0	0.306306306	0.792113546
101	0	0	0.064638783	0.633863803
101	0	0	1	0.962146392
102	0.210526316	0.622053738	1	0.902149843
102	0.017857143	0.666731876	1	0.886439176
102	1	0.855877879	1	0.855877879
103	0	0	0.666666667	0.893731487
103	0	0	0.571428571	0.893731487
104	1	0.855877879	1	0.855877879
104	0.571428571	0.855877879	1	0.924292784
105	0	0	0.306289881	0.924292784
105	0	0	0.717948718	0.962146392
106	0	0	0.666666667	0.940003451
106	0.125	0.6747445	0.714285714	0.940003451
107	0.378378378	0.874253036	1	0.940003451
107	0.378378378	0.893731487	0.378378378	0.893731487
108	0	0	0.868131868	0.962146392
108	0	0	0.868131868	0.962146392
109	1	0.855877879	1	0.855877879
109	1	0.855877879	1	0.855877879
110	0	0	0.931034483	0.886439176
110	0	0	0.931034483	0.893731487
110	0	0	0.931034483	0.893731487
111	0.001601889	0.490832881	1	0.962146392
111	0.08640291	0.816107892	1	0.962146392
112	1	0.902149843	1	0.902149843
112	0.181818182	0.893731487	1	0.924292784
113	0	0	1	0.962146392
113	0	0	1	0.962146392
114	0.666666667	0.886439176	0.666666667	0.886439176
114	0	0	1	0.940003451
115	0	0	1	0.940003451
115	0	0	1	0.912106644
115	0	0	1	0.893731487
115	0	0	0.666666667	0.864296235
116	0.000471791	0.422603613	1	0.912106644
116	0.002354049	0.529107519	1	0.886439176
117	0	0	1	0.886439176
117	0	0	1	0.886439176
118	1	0.818024272	1	0.818024272
118	1	0.818024272	1	0.818024272
119	0	0	1	0.924292784
119	0	0	1	0.924292784
120	0.913978495	0.79588133	0.967741935	0.940003451
120	0	0	0.967741935	0.940003451
121	0.044568245	0.831194424	0.086956522	0.831194424
121	0.050314465	0.831194424	0.095238095	0.831194424
122	0	0	0.492537313	0.962146392
122	0.004022122	0.501815599	0.492537313	0.940003451
123	0.44813278	0.839200617	0.514285714	0.902149843
123	0	0	0.514285714	0.902149843
124	0.355871886	0.828766859	0.461538462	0.902149843
